,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,ReadingScore,WritingScore,MathScore
679,female,group D,associate's degree,standard,none,single,never,yes,1,private,05-Oct,89,90,85
680,male,group C,high school,standard,completed,married,sometimes,no,2,private,05-Oct,49,47,47
681,male,group A,some college,standard,completed,married,never,yes,3,private,05-Oct,79,75,88
682,male,group D,some high school,free/reduced,completed,married,sometimes,,0,,05-Oct,51,56,61
683,male,group E,associate's degree,free/reduced,none,married,regularly,yes,4,school_bus,05-Oct,74,66,76
684,female,group C,associate's degree,free/reduced,none,married,sometimes,yes,3,,05-Oct,80,78,72
685,female,group B,some high school,standard,none,divorced,regularly,yes,1,,< 5,58,57,52
686,female,group D,associate's degree,standard,none,married,sometimes,no,3,,05-Oct,95,89,89
687,female,group D,some college,standard,none,single,regularly,yes,3,private,05-Oct,81,85,82
688,female,group C,high school,standard,none,married,regularly,yes,,private,05-Oct,71,71,64
690,female,,associate's degree,standard,none,married,regularly,no,3,school_bus,> 10,80,79,78
691,male,group E,,free/reduced,completed,single,regularly,yes,3,private,05-Oct,59,59,64
692,male,group C,high school,standard,none,married,never,no,3,private,05-Oct,63,57,64
694,female,group A,some college,standard,completed,married,regularly,yes,4,school_bus,05-Oct,93,96,79
695,male,group D,,standard,completed,married,sometimes,no,3,school_bus,05-Oct,53,60,66
697,male,group D,high school,free/reduced,completed,married,regularly,yes,1,,,69,64,61
698,female,group B,high school,standard,none,married,sometimes,yes,2,school_bus,,86,82,70
699,female,group C,some college,standard,none,divorced,regularly,yes,7,private,05-Oct,59,65,63
700,male,group C,high school,standard,none,divorced,regularly,yes,2,school_bus,< 5,58,57,64
702,female,group D,some college,free/reduced,none,single,sometimes,no,2,school_bus,,88,81,74
703,female,,some college,standard,none,single,never,yes,3,school_bus,< 5,77,71,61
704,male,group B,bachelor's degree,standard,none,divorced,regularly,yes,2,school_bus,05-Oct,82,80,88
705,female,group E,high school,standard,completed,divorced,regularly,yes,,private,05-Oct,100,100,94
706,female,group D,some college,free/reduced,none,married,regularly,no,6,school_bus,> 10,60,60,44
707,male,group A,some high school,free/reduced,completed,married,sometimes,yes,1,school_bus,< 5,62,60,64
708,male,group D,some college,standard,none,single,sometimes,yes,2,school_bus,05-Oct,68,59,64
709,female,group C,some college,free/reduced,none,married,regularly,yes,3,school_bus,< 5,65,65,55
710,female,group C,some high school,free/reduced,completed,married,regularly,yes,1,school_bus,05-Oct,77,80,74
711,male,group C,some college,standard,completed,single,sometimes,yes,2,school_bus,05-Oct,82,84,79
712,female,group D,master's degree,standard,none,single,sometimes,yes,1,school_bus,> 10,89,90,72
713,male,group D,high school,free/reduced,none,married,never,yes,3,private,05-Oct,52,50,46
714,male,,some high school,standard,completed,divorced,sometimes,yes,5,school_bus,05-Oct,68,70,65
715,female,group B,some high school,free/reduced,completed,married,regularly,yes,4,,05-Oct,62,64,51
716,male,group C,associate's degree,free/reduced,none,single,sometimes,yes,1,private,> 10,58,52,60
717,male,group E,,free/reduced,none,married,never,yes,7,private,> 10,69,65,71
718,female,group C,high school,standard,none,married,regularly,no,2,school_bus,05-Oct,93,94,91
719,female,group A,associate's degree,free/reduced,none,married,never,yes,5,school_bus,> 10,36,37,23
720,male,group C,,standard,none,single,regularly,yes,0,private,< 5,60,49,55
721,female,group B,some college,free/reduced,completed,married,regularly,yes,,private,05-Oct,70,82,64
722,male,group A,bachelor's degree,standard,none,married,sometimes,yes,3,,05-Oct,57,56,71
723,female,group D,master's degree,standard,completed,single,sometimes,no,2,school_bus,> 10,82,86,72
724,female,group A,some high school,free/reduced,none,single,sometimes,no,4,school_bus,< 5,54,51,46
725,male,group D,associate's degree,standard,none,single,regularly,yes,2,,> 10,80,81,88
726,female,group B,bachelor's degree,free/reduced,none,married,regularly,yes,0,school_bus,05-Oct,72,74,70
727,male,group C,some high school,standard,none,married,regularly,yes,1,school_bus,> 10,46,39,49
728,male,group B,some high school,free/reduced,none,married,regularly,yes,5,school_bus,05-Oct,55,52,50
729,female,group A,bachelor's degree,standard,completed,married,sometimes,yes,2,private,05-Oct,98,99,90
730,male,group C,high school,standard,none,married,regularly,yes,2,,05-Oct,51,44,56
731,female,group B,master's degree,free/reduced,completed,single,never,no,3,private,> 10,62,68,49
732,male,group C,associate's degree,free/reduced,,single,sometimes,no,2,private,05-Oct,74,65,74
733,male,group C,high school,standard,none,married,regularly,no,4,private,05-Oct,63,58,59
734,male,group C,,standard,none,married,sometimes,no,1,private,05-Oct,69,61,69
735,male,group B,bachelor's degree,standard,completed,single,,yes,3,school_bus,05-Oct,89,85,78
736,male,,associate's degree,standard,completed,divorced,sometimes,yes,0,school_bus,05-Oct,76,73,84
737,male,,some college,free/reduced,,married,never,yes,0,private,< 5,56,53,53
738,female,,some college,standard,none,married,,yes,3,school_bus,05-Oct,94,92,83
739,female,group B,bachelor's degree,standard,completed,married,never,no,1,private,05-Oct,91,93,84
740,female,group E,some college,standard,none,single,never,yes,3,school_bus,,79,81,81
742,female,group D,some high school,free/reduced,completed,married,never,yes,5,school_bus,05-Oct,68,73,51
743,female,group E,high school,free/reduced,none,single,never,no,5,school_bus,< 5,67,63,63
744,female,,some high school,standard,none,single,regularly,no,4,private,> 10,54,55,56
745,male,group D,some high school,standard,none,single,sometimes,yes,,private,05-Oct,86,79,79
746,female,group C,some high school,free/reduced,,divorced,regularly,no,1,private,< 5,37,30,31
748,female,group C,high school,standard,none,divorced,sometimes,yes,1,private,05-Oct,90,83,80
749,female,group D,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,85,87,83
750,male,group C,some high school,free/reduced,none,married,regularly,yes,1,private,05-Oct,54,52,57
752,male,group E,high school,standard,completed,single,sometimes,yes,2,private,05-Oct,84,89,88
753,female,,some college,free/reduced,completed,married,regularly,yes,2,school_bus,05-Oct,46,57,44
755,male,group C,bachelor's degree,standard,none,single,regularly,yes,2,private,05-Oct,52,51,48
756,male,group D,associate's degree,standard,completed,married,sometimes,yes,2,private,< 5,83,83,85
759,female,group E,associate's degree,free/reduced,none,widowed,regularly,yes,4,school_bus,05-Oct,74,67,58
760,male,group D,high school,free/reduced,none,divorced,sometimes,yes,3,school_bus,05-Oct,52,56,68
761,male,group C,master's degree,free/reduced,completed,married,regularly,yes,0,school_bus,05-Oct,62,68,61
762,male,group D,some college,free/reduced,none,single,never,yes,2,school_bus,05-Oct,64,66,64
764,male,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,1,school_bus,05-Oct,75,72,79
765,male,group C,some college,free/reduced,none,married,regularly,yes,2,,05-Oct,58,57,65
766,male,group D,some college,standard,none,married,regularly,yes,2,private,< 5,96,89,99
767,female,group D,high school,standard,none,married,regularly,yes,1,private,< 5,47,47,56
768,male,group D,some college,standard,completed,married,sometimes,yes,5,school_bus,05-Oct,87,92,97
769,male,group D,,standard,none,single,regularly,no,2,,05-Oct,61,65,64
770,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,3,private,05-Oct,94,100,87
771,male,group B,some high school,free/reduced,none,divorced,regularly,yes,0,school_bus,05-Oct,48,48,53
772,male,group A,associate's degree,standard,none,married,sometimes,no,1,school_bus,05-Oct,45,49,55
773,male,group C,,standard,none,widowed,sometimes,yes,0,,> 10,69,61,78
774,female,group D,some high school,standard,completed,single,sometimes,yes,3,school_bus,05-Oct,84,82,67
775,female,group B,,standard,completed,single,regularly,yes,0,school_bus,05-Oct,72,76,66
776,female,group D,some high school,free/reduced,none,single,regularly,yes,3,,< 5,78,76,67
777,male,group D,associate's degree,standard,none,married,never,yes,2,school_bus,05-Oct,65,66,66
778,female,group B,some college,free/reduced,none,single,sometimes,no,1,school_bus,05-Oct,50,50,43
779,female,group C,some college,standard,completed,married,,no,4,school_bus,< 5,79,79,67
781,male,group C,bachelor's degree,free/reduced,completed,married,regularly,yes,3,school_bus,> 10,74,79,80
782,male,group D,master's degree,free/reduced,completed,divorced,never,no,5,school_bus,< 5,89,95,81
783,male,group A,bachelor's degree,standard,completed,married,sometimes,no,2,school_bus,> 10,66,68,81
784,male,group D,associate's degree,free/reduced,completed,single,sometimes,yes,0,private,05-Oct,54,59,58
785,female,group E,high school,free/reduced,none,married,sometimes,yes,2,private,05-Oct,53,46,43
786,male,group C,associate's degree,free/reduced,none,married,sometimes,no,2,school_bus,> 10,47,44,46
787,female,group D,some high school,free/reduced,completed,single,,yes,3,school_bus,< 5,81,77,59
788,female,group C,some college,standard,none,married,sometimes,no,1,school_bus,05-Oct,97,92,82
789,male,group C,associate's degree,standard,none,single,regularly,no,1,private,< 5,62,67,78
790,female,group E,high school,standard,,single,sometimes,no,1,private,> 10,64,61,67
791,male,group E,high school,free/reduced,completed,,sometimes,yes,0,school_bus,< 5,81,79,88
792,male,group D,high school,free/reduced,none,divorced,never,no,1,private,05-Oct,51,44,50
793,female,group B,some college,free/reduced,none,married,regularly,no,1,,05-Oct,66,76,60
794,female,group B,some high school,standard,completed,married,regularly,yes,0,school_bus,05-Oct,87,91,74
795,male,group B,associate's degree,free/reduced,none,married,sometimes,no,3,private,> 10,75,76,82
796,female,group B,some high school,free/reduced,none,single,sometimes,yes,3,,< 5,69,67,53
797,female,group C,some high school,standard,completed,married,never,yes,1,school_bus,< 5,64,52,44
798,male,group C,high school,standard,none,married,sometimes,no,2,school_bus,< 5,51,49,61
800,male,group A,some high school,standard,completed,married,sometimes,yes,1,private,< 5,61,56,62
801,male,group D,high school,standard,none,single,regularly,yes,3,private,05-Oct,42,36,47
802,female,group C,bachelor's degree,standard,completed,single,regularly,no,2,school_bus,< 5,81,88,69
803,female,group D,master's degree,free/reduced,completed,divorced,sometimes,no,2,school_bus,05-Oct,66,73,62
804,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,05-Oct,72,73,71
805,female,group B,some high school,standard,none,married,sometimes,yes,0,school_bus,05-Oct,89,90,77
806,male,group C,some college,free/reduced,none,single,sometimes,yes,0,,< 5,51,41,48
807,male,group C,associate's degree,free/reduced,completed,divorced,regularly,,1,school_bus,05-Oct,64,61,69
808,female,group E,associate's degree,free/reduced,none,married,sometimes,no,3,school_bus,> 10,54,54,56
809,male,group C,high school,free/reduced,none,married,never,yes,1,school_bus,> 10,68,61,71
810,male,group C,,standard,completed,,regularly,yes,0,school_bus,05-Oct,88,93,84
811,male,group C,,free/reduced,none,married,sometimes,no,4,school_bus,> 10,61,58,66
812,female,group E,some high school,standard,none,married,sometimes,no,2,,< 5,74,70,66
813,male,group C,high school,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,44,40,40
814,female,group C,some college,standard,none,single,sometimes,yes,2,school_bus,> 10,75,78,59
815,female,group B,some college,free/reduced,none,married,sometimes,yes,3,school_bus,05-Oct,72,76,62
816,male,group D,some high school,standard,none,married,regularly,yes,2,private,< 5,64,64,79
817,male,group C,high school,free/reduced,none,married,sometimes,,3,private,< 5,42,42,45
818,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,private,05-Oct,77,85,76
819,female,group C,associate's degree,free/reduced,completed,single,regularly,yes,5,private,05-Oct,49,56,30
820,female,group B,high school,standard,completed,married,sometimes,yes,2,private,> 10,60,62,53
821,female,group B,,standard,none,married,regularly,no,2,private,,93,91,94
822,female,group E,some high school,standard,none,married,sometimes,no,2,,< 5,92,88,91
823,male,group B,some high school,standard,none,single,sometimes,yes,1,private,05-Oct,47,48,48
824,female,group B,associate's degree,standard,completed,married,sometimes,no,1,school_bus,05-Oct,54,58,50
825,male,group C,bachelor's degree,free/reduced,completed,single,sometimes,no,1,private,05-Oct,58,63,67
826,male,group C,high school,free/reduced,completed,divorced,never,yes,1,private,< 5,33,30,29
827,female,group B,master's degree,standard,completed,married,regularly,yes,1,school_bus,05-Oct,83,87,75
829,female,,some college,standard,completed,single,regularly,yes,4,school_bus,< 5,86,88,68
830,female,group C,bachelor's degree,free/reduced,completed,married,never,yes,4,school_bus,05-Oct,97,94,78
831,female,group C,some college,standard,none,single,sometimes,no,2,school_bus,< 5,56,55,50
832,female,group D,bachelor's degree,free/reduced,completed,married,,yes,5,private,05-Oct,79,82,71
833,female,group B,associate's degree,free/reduced,completed,married,sometimes,yes,3,private,05-Oct,67,72,68
834,female,group A,some high school,standard,completed,divorced,sometimes,no,1,school_bus,> 10,76,78,66
835,male,group C,bachelor's degree,free/reduced,none,married,sometimes,no,1,school_bus,< 5,53,52,59
836,male,group A,some college,standard,none,married,sometimes,yes,3,,05-Oct,68,69,77
837,female,group D,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,< 5,75,80,60
838,female,group E,associate's degree,free/reduced,none,married,sometimes,no,4,private,05-Oct,73,72,71
839,male,group C,some college,free/reduced,completed,married,regularly,yes,0,school_bus,05-Oct,54,55,58
840,female,group C,some college,standard,none,married,sometimes,yes,2,school_bus,05-Oct,63,58,58
841,female,group B,some college,standard,completed,divorced,sometimes,yes,2,private,> 10,80,79,69
842,male,group C,some high school,free/reduced,none,married,sometimes,yes,3,school_bus,05-Oct,58,52,59
843,male,group C,associate's degree,standard,none,married,sometimes,yes,4,,< 5,93,79,89
844,female,group B,high school,standard,none,married,sometimes,yes,2,private,05-Oct,77,82,71
845,male,group C,associate's degree,standard,none,divorced,sometimes,yes,0,private,05-Oct,73,74,83
847,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,57,53,65
848,female,group B,bachelor's degree,standard,completed,widowed,sometimes,yes,1,school_bus,> 10,82,88,74
849,female,group D,some college,standard,completed,married,sometimes,no,1,private,05-Oct,76,82,76
850,male,group C,associate's degree,standard,none,single,regularly,yes,0,school_bus,05-Oct,74,70,85
851,female,group D,some high school,standard,none,single,sometimes,yes,2,school_bus,> 10,53,58,53
852,male,group A,high school,free/reduced,none,divorced,never,yes,2,school_bus,,46,40,42
853,female,group E,some college,standard,none,married,regularly,yes,1,private,05-Oct,93,94,99
854,female,group B,,standard,completed,single,,yes,2,private,05-Oct,75,74,65
855,female,group D,bachelor's degree,standard,completed,divorced,sometimes,yes,2,private,05-Oct,92,93,78
856,male,group C,associate's degree,standard,completed,married,regularly,no,2,private,05-Oct,62,70,71
858,female,group B,some college,free/reduced,none,single,regularly,yes,1,private,05-Oct,65,56,43
859,female,group D,associate's degree,free/reduced,none,divorced,sometimes,yes,,school_bus,05-Oct,84,83,64
860,female,group C,some high school,standard,completed,divorced,never,yes,,private,< 5,77,83,75
861,female,group E,some college,standard,none,divorced,never,no,1,,< 5,83,85,79
862,female,group E,bachelor's degree,standard,none,married,never,yes,0,private,05-Oct,77,77,61
863,female,group D,associate's degree,standard,none,divorced,sometimes,yes,2,school_bus,05-Oct,72,74,58
864,female,group D,some high school,standard,none,married,never,yes,2,school_bus,> 10,73,71,68
865,male,group C,some college,standard,completed,married,regularly,yes,2,school_bus,05-Oct,91,93,84
866,female,group D,high school,free/reduced,,married,sometimes,yes,2,school_bus,< 5,57,54,46
867,male,group C,associate's degree,standard,none,single,sometimes,yes,0,private,< 5,77,78,86
868,male,,some college,standard,none,divorced,sometimes,yes,3,school_bus,05-Oct,63,61,74
869,male,group C,,standard,completed,single,sometimes,yes,2,school_bus,< 5,64,63,59
870,female,group C,associate's degree,standard,none,married,regularly,yes,6,school_bus,05-Oct,71,75,63
871,female,group C,associate's degree,free/reduced,none,divorced,sometimes,,,school_bus,< 5,41,44,42
872,male,group D,some high school,standard,completed,married,sometimes,yes,0,,05-Oct,85,84,91
873,female,group D,some high school,standard,completed,married,regularly,yes,0,private,05-Oct,53,54,36
874,female,group B,some high school,free/reduced,none,married,sometimes,,6,,< 5,55,45,34
875,male,group D,,free/reduced,none,single,regularly,yes,1,,< 5,81,80,81
876,male,group C,associate's degree,free/reduced,completed,married,sometimes,yes,2,school_bus,05-Oct,59,55,46
878,male,group D,high school,standard,none,married,never,yes,3,school_bus,< 5,55,56,57
879,male,group E,bachelor's degree,free/reduced,none,married,regularly,yes,0,school_bus,> 10,83,81,90
880,male,group C,some college,standard,completed,married,,yes,2,private,05-Oct,90,86,90
881,male,group C,some college,free/reduced,none,married,sometimes,no,2,school_bus,05-Oct,50,42,56
882,male,group A,some college,standard,completed,single,,yes,0,school_bus,05-Oct,64,75,77
883,female,group D,high school,standard,none,single,sometimes,yes,1,school_bus,> 10,82,76,70
886,female,group C,,standard,none,married,sometimes,yes,3,private,< 5,34,41,41
887,female,group D,some college,standard,none,divorced,sometimes,no,1,school_bus,< 5,87,80,74
888,female,group D,some high school,free/reduced,completed,married,sometimes,no,,private,> 10,52,60,41
889,female,group C,bachelor's degree,standard,none,single,sometimes,yes,5,private,> 10,47,56,45
891,male,group A,high school,standard,none,married,sometimes,no,2,private,> 10,65,63,72
892,female,group C,some college,standard,none,married,sometimes,yes,3,private,05-Oct,77,79,67
893,male,group D,bachelor's degree,standard,none,single,regularly,no,3,school_bus,< 5,75,76,83
894,female,group B,bachelor's degree,standard,none,,sometimes,yes,1,school_bus,05-Oct,87,84,74
895,male,,some high school,free/reduced,completed,divorced,never,yes,1,school_bus,< 5,54,44,36
896,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,2,,< 5,65,71,54
897,female,group C,associate's degree,standard,completed,single,regularly,yes,1,private,05-Oct,84,88,79
898,female,group B,,free/reduced,completed,single,sometimes,yes,0,school_bus,< 5,84,88,79
899,female,group D,some college,standard,none,single,sometimes,yes,0,school_bus,< 5,68,73,61
900,female,group B,associate's degree,standard,none,divorced,regularly,yes,1,,,96,89,90
901,male,group C,some high school,standard,none,single,sometimes,,1,school_bus,> 10,53,44,58
902,male,group B,,standard,completed,married,sometimes,no,5,school_bus,< 5,50,49,52
903,male,group E,some college,free/reduced,none,married,regularly,yes,3,school_bus,05-Oct,76,78,84
904,female,group E,master's degree,free/reduced,completed,married,regularly,yes,4,school_bus,05-Oct,73,73,59
905,female,group D,high school,standard,,married,regularly,no,1,school_bus,05-Oct,79,87,76
906,male,,high school,standard,completed,divorced,regularly,yes,3,private,05-Oct,83,79,83
907,male,group B,associate's degree,standard,none,single,sometimes,yes,2,school_bus,05-Oct,55,58,73
908,female,group A,associate's degree,standard,none,married,regularly,yes,1,,05-Oct,73,72,64
909,male,group A,high school,standard,,married,sometimes,yes,2,private,05-Oct,53,49,60
910,male,group B,master's degree,standard,none,divorced,sometimes,yes,1,,,70,62,69
911,male,group D,some college,standard,none,divorced,regularly,yes,3,school_bus,05-Oct,74,70,76
912,female,group C,some college,standard,none,single,regularly,yes,1,private,< 5,72,75,71
913,male,group B,,free/reduced,completed,married,sometimes,yes,3,,05-Oct,49,49,44
914,male,group E,high school,standard,none,married,sometimes,yes,4,private,< 5,51,48,61
915,female,group C,associate's degree,free/reduced,none,single,sometimes,yes,1,school_bus,05-Oct,82,76,62
916,male,group C,high school,standard,none,married,regularly,yes,1,private,05-Oct,60,58,62
917,male,group C,some college,standard,none,married,sometimes,yes,0,private,05-Oct,79,72,72
920,female,group D,bachelor's degree,free/reduced,none,single,sometimes,yes,0,school_bus,> 10,90,93,77
921,female,group C,some high school,standard,completed,married,sometimes,no,1,private,< 5,80,74,62
922,male,group B,master's degree,standard,none,married,sometimes,yes,0,private,05-Oct,79,69,74
923,male,group D,associate's degree,free/reduced,none,single,sometimes,yes,,private,05-Oct,41,40,40
924,female,group D,some high school,standard,none,married,sometimes,no,4,school_bus,> 10,76,74,69
925,male,group D,high school,standard,none,married,sometimes,yes,2,school_bus,> 10,61,59,70
926,male,,some high school,standard,completed,married,sometimes,yes,2,school_bus,05-Oct,45,44,58
927,female,group D,,standard,none,married,regularly,no,3,private,> 10,84,93,88
929,male,group E,bachelor's degree,standard,completed,married,sometimes,yes,2,school_bus,< 5,83,86,93
930,female,group D,some high school,standard,none,married,regularly,yes,2,school_bus,< 5,78,74,70
931,male,group B,high school,free/reduced,completed,divorced,never,yes,4,,05-Oct,62,58,50
932,male,group C,master's degree,free/reduced,none,widowed,sometimes,,1,school_bus,05-Oct,62,54,55
933,male,group C,some high school,free/reduced,completed,married,regularly,yes,4,school_bus,,74,64,71
935,female,group A,some college,standard,completed,divorced,sometimes,yes,1,private,< 5,58,64,51
936,female,group B,master's degree,standard,none,single,never,yes,0,private,05-Oct,86,86,66
937,male,group C,some college,standard,none,married,regularly,no,1,school_bus,05-Oct,83,70,85
939,female,group B,some high school,standard,none,,sometimes,no,3,school_bus,05-Oct,78,72,63
940,female,group D,some college,free/reduced,completed,married,regularly,yes,2,private,> 10,77,79,63
941,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,1,private,> 10,84,80,62
942,male,group C,master's degree,standard,none,divorced,never,no,1,private,05-Oct,70,71,85
944,female,group C,high school,free/reduced,completed,single,regularly,yes,1,school_bus,05-Oct,89,86,83
945,male,group B,associate's degree,free/reduced,none,single,sometimes,no,7,,05-Oct,60,46,46
946,male,group D,some high school,standard,none,married,sometimes,no,7,school_bus,05-Oct,61,58,68
947,male,group D,high school,standard,none,married,regularly,yes,0,school_bus,> 10,62,57,60
948,female,group C,some high school,standard,completed,married,never,yes,4,school_bus,05-Oct,80,80,64
949,male,,master's degree,free/reduced,completed,divorced,sometimes,yes,1,private,05-Oct,71,72,67
950,male,group A,master's degree,standard,none,married,sometimes,yes,0,,05-Oct,62,59,57
952,male,group C,high school,free/reduced,none,single,never,yes,2,school_bus,> 10,56,51,56
953,female,group E,associate's degree,standard,completed,divorced,sometimes,no,1,school_bus,05-Oct,76,74,77
954,male,group D,some high school,free/reduced,none,married,regularly,yes,1,private,05-Oct,77,70,72
955,male,group E,associate's degree,standard,none,married,sometimes,yes,5,school_bus,05-Oct,100,94,100
956,female,group E,associate's degree,standard,none,,sometimes,yes,1,private,< 5,87,79,64
957,female,group C,high school,standard,none,divorced,regularly,yes,3,private,05-Oct,77,71,66
958,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,,school_bus,05-Oct,83,77,75
959,male,group C,high school,free/reduced,none,married,regularly,yes,4,school_bus,< 5,57,49,45
960,female,group A,some college,free/reduced,completed,divorced,sometimes,no,2,school_bus,05-Oct,47,43,40
961,male,group C,some high school,standard,completed,single,regularly,no,2,school_bus,05-Oct,80,76,88
962,female,group B,bachelor's degree,standard,completed,divorced,regularly,no,3,school_bus,05-Oct,83,80,67
963,female,group D,bachelor's degree,free/reduced,completed,married,regularly,yes,2,school_bus,05-Oct,93,91,73
964,female,group E,high school,standard,none,single,never,yes,1,school_bus,< 5,72,72,67
965,female,group D,bachelor's degree,standard,completed,married,never,yes,4,,< 5,94,95,85
966,female,group A,high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,64,52,47
967,male,group D,bachelor's degree,standard,completed,married,never,yes,2,school_bus,> 10,81,79,87
968,male,group C,master's degree,free/reduced,none,married,regularly,yes,1,private,05-Oct,59,51,58
969,female,group D,high school,free/reduced,none,divorced,regularly,yes,0,school_bus,< 5,53,52,45
970,female,group A,some high school,standard,none,married,sometimes,no,4,,05-Oct,67,63,58
971,female,,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,05-Oct,87,87,71
972,male,group D,some high school,free/reduced,none,married,never,no,3,,> 10,72,69,70
973,male,group C,some college,free/reduced,completed,married,sometimes,yes,,school_bus,< 5,60,59,60
974,female,group B,some high school,standard,none,single,sometimes,yes,0,private,< 5,64,57,58
975,male,group E,some college,standard,none,married,regularly,yes,,school_bus,05-Oct,69,61,73
977,female,group C,associate's degree,free/reduced,completed,married,never,yes,3,private,05-Oct,60,60,38
978,female,group B,some college,standard,none,divorced,sometimes,yes,,private,> 10,75,76,57
979,male,,high school,free/reduced,none,single,sometimes,no,3,,< 5,80,71,85
980,male,group D,master's degree,standard,none,married,regularly,yes,,school_bus,> 10,86,82,95
981,male,group C,some college,standard,none,married,sometimes,yes,2,,05-Oct,56,56,67
982,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,private,< 5,52,53,60
983,female,group C,associate's degree,standard,completed,single,regularly,yes,3,private,05-Oct,86,84,72
984,male,group B,some college,free/reduced,none,single,regularly,yes,1,school_bus,05-Oct,52,50,62
985,female,group A,bachelor's degree,standard,none,single,sometimes,yes,2,school_bus,05-Oct,89,90,79
986,male,group E,high school,standard,none,divorced,never,no,3,school_bus,< 5,73,67,69
987,female,group B,associate's degree,standard,none,married,regularly,yes,2,school_bus,< 5,65,64,56
988,male,group A,some high school,standard,none,married,sometimes,yes,1,private,> 10,47,53,52
989,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,private,05-Oct,84,89,93
990,male,group B,some college,standard,none,married,sometimes,,3,,05-Oct,80,72,86
991,male,,high school,free/reduced,none,,regularly,yes,3,school_bus,05-Oct,41,42,40
993,male,group C,associate's degree,standard,none,married,never,no,2,private,< 5,56,56,70
995,male,group A,high school,standard,none,married,regularly,no,1,private,05-Oct,61,57,62
996,female,group D,some college,free/reduced,none,single,sometimes,yes,1,school_bus,> 10,82,72,62
997,male,group C,master's degree,free/reduced,none,married,never,yes,3,private,05-Oct,72,67,74
998,male,group C,master's degree,standard,none,divorced,never,yes,1,private,05-Oct,64,61,59
999,female,group B,high school,free/reduced,none,married,sometimes,yes,1,,< 5,50,49,38
0,male,group E,high school,free/reduced,none,married,regularly,yes,0,private,05-Oct,62,56,52
1,female,group B,high school,free/reduced,none,single,sometimes,yes,2,school_bus,05-Oct,54,47,41
2,female,group D,some high school,standard,completed,married,sometimes,yes,1,,> 10,73,78,73
3,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,05-Oct,45,43,31
4,female,group D,associate's degree,standard,completed,divorced,never,yes,5,private,> 10,83,93,83
5,female,,some high school,standard,,divorced,regularly,no,2,school_bus,05-Oct,79,78,70
6,female,group D,some college,standard,none,married,sometimes,no,1,,05-Oct,66,69,58
7,female,group C,,standard,none,single,sometimes,yes,2,private,< 5,80,80,67
8,male,group C,associate's degree,free/reduced,none,single,never,no,3,private,< 5,71,66,73
9,male,group B,some college,free/reduced,none,married,sometimes,yes,0,private,> 10,51,47,59
10,female,group C,master's degree,standard,completed,divorced,regularly,yes,,private,05-Oct,78,76,58
11,male,group D,,standard,none,married,never,no,5,,05-Oct,55,56,64
12,male,,associate's degree,standard,completed,single,sometimes,yes,0,school_bus,05-Oct,96,100,100
13,male,,master's degree,standard,none,married,regularly,no,5,private,05-Oct,87,85,100
14,female,group D,,standard,none,married,never,no,3,school_bus,05-Oct,60,61,51
15,female,group E,some high school,standard,completed,married,regularly,no,4,school_bus,< 5,90,92,85
16,male,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,53,47,55
17,male,group B,some high school,free/reduced,none,married,sometimes,no,1,school_bus,05-Oct,35,29,36
18,female,group B,high school,standard,none,single,regularly,no,3,school_bus,< 5,79,70,56
19,female,group E,high school,free/reduced,completed,married,regularly,yes,0,school_bus,> 10,66,66,66
20,male,group C,bachelor's degree,standard,completed,married,sometimes,no,2,,< 5,97,95,89
21,female,group D,master's degree,free/reduced,completed,divorced,regularly,yes,1,private,< 5,70,78,51
22,female,group D,high school,standard,completed,married,regularly,no,1,school_bus,05-Oct,74,74,72
23,female,group D,some high school,standard,none,single,regularly,no,4,school_bus,05-Oct,82,94,84
24,male,group A,high school,free/reduced,completed,,regularly,yes,2,,> 10,46,38,29
25,female,group D,some college,standard,none,married,regularly,no,3,school_bus,05-Oct,64,65,58
26,male,group C,master's degree,standard,none,married,sometimes,yes,2,private,05-Oct,80,77,76
27,female,group D,,standard,completed,divorced,sometimes,no,1,private,> 10,89,90,77
28,male,group E,some college,free/reduced,none,,sometimes,no,3,private,> 10,45,42,71
29,male,group A,some college,standard,none,married,sometimes,no,1,school_bus,05-Oct,38,37,43
30,male,group B,high school,standard,completed,divorced,sometimes,yes,,school_bus,< 5,48,49,49
